trace_file,l1_size,l1_assoc,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l2_hit_rate,l2_miss_rate,l2_amat
trace_rd,8192,1,87.0218,12.9782,8.38677,92.4967,7.50331,30.0066
trace_rd,8192,2,91.8341,8.16594,7.66493,86.9911,13.0089,41.0177
trace_rd,8192,4,94.4795,5.52051,7.26812,81.1875,18.8125,52.625
trace_rd,8192,8,95.0754,4.92461,7.17873,77.4796,22.5204,60.0408
trace_rd,16384,1,94.571,5.42898,7.25439,79.5105,20.4895,55.9789
trace_rd,16384,2,95.2552,4.74484,7.15149,75.8194,24.1806,63.3613
trace_rd,16384,4,96.7629,3.23708,6.9256,65.1739,34.8261,84.6523
trace_rd,16384,8,97.153,2.84699,6.86709,61.1765,38.8235,92.647
trace_rd,32768,1,96.3795,3.62046,6.98311,69.5801,30.4199,75.8397
trace_rd,32768,2,97.3399,2.66009,6.83878,58.0075,41.9925,98.9849
trace_rd,32768,4,97.4899,2.51006,6.8149,55.0814,44.9186,104.837
trace_rd,32768,8,97.5437,2.45635,6.80767,53.9748,46.0252,107.05
trace_sq,8192,1,86.1837,13.8163,9.15149,91.2554,8.74463,32.4893
trace_sq,8192,2,91.2275,8.77249,8.39491,85.4673,14.5327,44.0654
trace_sq,8192,4,94.1669,5.83305,7.954,78.4972,21.5028,58.0056
trace_sq,8192,8,94.9367,5.06329,7.83854,73.1977,26.8023,68.6045
trace_sq,16384,1,94.1686,5.83137,7.95375,76.6409,23.3591,61.7182
trace_sq,16384,2,94.9086,5.09136,7.84274,72.8897,27.1103,69.2207
trace_sq,16384,4,96.5772,3.42278,7.59246,60.8852,39.1148,93.2296
trace_sq,16384,8,97.039,2.96102,7.52319,56.1204,43.8796,102.759
trace_sq,32768,1,96.1133,3.8867,7.66205,65.5326,34.4674,83.9347
trace_sq,32768,2,97.1995,2.80055,7.49912,52.5013,47.4987,109.997
trace_sq,32768,4,97.3707,2.62927,7.47343,49.0997,50.9003,116.801
trace_sq,32768,8,97.4271,2.5729,7.46498,47.9148,52.0852,119.17
trace_str,8192,1,86.1397,13.8603,8.69463,92.2509,7.74907,30.4981
trace_str,8192,2,91.2716,8.72836,7.92484,86.9434,13.0566,41.1132
trace_str,8192,4,94.1087,5.89131,7.49928,81.0784,18.9216,52.8432
trace_str,8192,8,94.7437,5.2563,7.40403,77.3656,22.6344,60.2689
trace_str,16384,1,94.201,5.79902,7.48544,79.4159,20.5841,56.1682
trace_str,16384,2,94.9161,5.08391,7.37788,75.8273,24.1727,63.3455
trace_str,16384,4,96.5304,3.46956,7.13602,65.1901,34.8099,84.6198
trace_str,16384,8,96.9454,3.05455,7.07377,61.2043,38.7957,92.5915
trace_str,32768,1,96.1323,3.86768,7.19574,69.442,30.558,76.116
trace_str,32768,2,97.1496,2.85042,7.04285,58.0297,41.9703,98.9406
trace_str,32768,4,97.3103,2.68965,7.01727,55.0716,44.9284,104.857
trace_str,32768,8,97.3671,2.63292,7.00993,54.0216,45.9784,106.957
