trace_file,l1_size,l1_assoc,best_policy,best_l1_d_amat,best_l1_d_hit_rate,best_l1_d_miss_rate,best_l1_d_write_backs,l2_amat,l2_hit_rate,l2_miss_rate
trace_rd,8192,1,LFU,8.38485,87.0218,12.9782,24572,29.9983,92.5008,7.49915
trace_rd,8192,2,LRU,7.66493,91.8341,8.16594,12273,41.0177,86.9911,13.0089
trace_rd,8192,4,LRU,7.26812,94.4795,5.52051,8572,52.625,81.1875,18.8125
trace_rd,8192,8,LRU,7.17873,95.0754,4.92461,6965,60.0408,77.4796,22.5204
trace_rd,16384,1,LFU,7.2522,94.571,5.42898,7867,55.9524,79.5238,20.4762
trace_rd,16384,2,LRU,7.15149,95.2552,4.74484,6317,63.3613,75.8194,24.1806
trace_rd,16384,4,LRU,6.9256,96.7629,3.23708,3995,84.6523,65.1739,34.8261
trace_rd,16384,8,LRU,6.86709,97.153,2.84699,3677,92.647,61.1765,38.8235
trace_rd,32768,1,Random,6.98064,96.3795,3.62046,5681,75.7835,69.6083,30.3917
trace_rd,32768,2,LRU,6.83878,97.3399,2.66009,3497,98.9849,58.0075,41.9925
trace_rd,32768,4,LRU,6.8149,97.4899,2.51006,3214,104.837,55.0814,44.9186
trace_rd,32768,8,LRU,6.80767,97.5437,2.45635,3178,107.05,53.9748,46.0252
trace_sq,8192,1,LRU,9.15149,86.1837,13.8163,14637,32.4893,91.2554,8.74463
trace_sq,8192,2,LRU,8.39491,91.2275,8.77249,7397,44.0654,85.4673,14.5327
trace_sq,8192,4,LRU,7.954,94.1669,5.83305,5185,58.0056,78.4972,21.5028
trace_sq,8192,8,LRU,7.83854,94.9367,5.06329,4033,68.6045,73.1977,26.8023
trace_sq,16384,1,LRU,7.95375,94.1686,5.83137,4922,61.7182,76.6409,23.3591
trace_sq,16384,2,LRU,7.84274,94.9086,5.09136,4045,69.2207,72.8897,27.1103
trace_sq,16384,4,LRU,7.59246,96.5772,3.42278,2609,93.2296,60.8852,39.1148
trace_sq,16384,8,LRU,7.52319,97.039,2.96102,2463,102.759,56.1204,43.8796
trace_sq,32768,1,LRU,7.66205,96.1133,3.8867,3687,83.9347,65.5326,34.4674
trace_sq,32768,2,LRU,7.49912,97.1995,2.80055,2399,109.997,52.5013,47.4987
trace_sq,32768,4,LRU,7.47343,97.3707,2.62927,2189,116.801,49.0997,50.9003
trace_sq,32768,8,LRU,7.46498,97.4271,2.5729,2166,119.17,47.9148,52.0852
trace_str,8192,1,LFU,8.69258,86.1397,13.8603,24281,30.4895,92.2552,7.74477
trace_str,8192,2,LRU,7.92484,91.2716,8.72836,12104,41.1132,86.9434,13.0566
trace_str,8192,4,LRU,7.49928,94.1087,5.89131,8421,52.8432,81.0784,18.9216
trace_str,8192,8,LRU,7.40403,94.7437,5.2563,6846,60.2689,77.3656,22.6344
trace_str,16384,1,Random,7.4822,94.201,5.79902,7755,56.1453,79.4273,20.5727
trace_str,16384,2,LRU,7.37788,94.9161,5.08391,6313,63.3455,75.8273,24.1727
trace_str,16384,4,LRU,7.13602,96.5304,3.46956,3987,84.6198,65.1901,34.8099
trace_str,16384,8,LRU,7.07377,96.9454,3.05455,3671,92.5915,61.2043,38.7957
trace_str,32768,1,LFU,7.19338,96.1323,3.86768,5589,76.0764,69.4618,30.5382
trace_str,32768,2,LRU,7.04285,97.1496,2.85042,3490,98.9406,58.0297,41.9703
trace_str,32768,4,LRU,7.01727,97.3103,2.68965,3210,104.857,55.0716,44.9284
trace_str,32768,8,LRU,7.00993,97.3671,2.63292,3175,106.957,54.0216,45.9784
