trace_file,policy,l1_d_amat,l1_d_hit_rate,l1_d_miss_rate,l1_d_write_backs,l2_amat,l2_hit_rate,l2_miss_rate,l2_total_accesses
trace_rd,FIFO,7.2861416666666665,94.36283333333334,5.637169166666666,9762.833333333334,63.19595833333333,75.90200833333334,24.097988333333333,57886.0
trace_rd,LFU,8.090083333333334,88.98645833333335,11.013539166666668,16936.083333333332,42.59530833333333,86.20234166666667,13.797653333333335,126396.66666666667
trace_rd,LRU,7.178465,95.07549166666666,4.924509166666667,7484.0,72.25343333333333,71.37325,28.626750833333332,49847.666666666664
trace_rd,Random,7.2909299999999995,94.314325,5.685685833333333,9719.916666666666,61.98951666666667,76.505225,23.494771666666665,58126.083333333336
trace_sq,FIFO,7.976408333333333,94.02394166666666,5.976048333333334,5980.75,70.04418333333334,72.47793333333333,27.522065833333333,34624.5
trace_sq,LFU,8.854014166666667,88.16685,11.833152499999999,10106.5,46.807183333333334,84.09640833333333,15.9035925,75243.83333333333
trace_sq,LRU,7.862555,94.77656666666667,5.223423333333334,4644.333333333333,79.99958333333333,67.50018333333334,32.49981916666667,29867.5
trace_sq,Random,7.981765833333333,93.98610000000001,6.013893333333333,5954.333333333333,68.7753,73.112375,26.887625833333335,34688.833333333336
trace_str,FIFO,7.5205866666666665,93.97335833333334,6.026653333333333,9669.75,63.30658333333333,75.84669166666667,24.153305,57312.5
trace_str,LFU,8.369729166666668,88.29148333333335,11.7085125,16347.666666666666,43.44911666666667,85.775425,14.2245725,121741.08333333333
trace_str,LRU,7.405139999999999,94.73465833333334,5.2653316666666665,7403.5,72.35991666666666,71.32006666666666,28.679930833333334,49312.083333333336
trace_str,Random,7.526489166666667,93.91210833333334,6.087890000000001,9656.25,62.029583333333335,76.48519166666667,23.514805,57634.5
